Year,Depletion,Indicator,CI_low,CI_high
2003,0.53869,61994.2258,54392.76061,70658.00649
2004,0.5444,63977.85235,56024.72096,73059.99068
2005,0.54873,63382.11276,56476.71631,71131.83061
2006,0.54682,54566.83074,48588.12976,61281.20246
2007,0.54138,52738.50365,47185.35017,58945.19714
2008,0.52997,39263.0859,35037.86361,43997.82852
2009,0.51369,35231.44074,31465.96021,39447.53023
2010,0.49559,37994.12004,34022.55361,42429.3007
2011,0.48858,42378.02517,37873.14053,47418.75092
2012,0.50023,44871.48437,40303.85943,49956.75695
2013,0.5316,54544.60847,47890.81291,62122.86099
2014,0.57331,60124.06636,53859.00076,67117.90611
2015,0.61899,68875.96444,61685.89244,76904.10708
2016,0.65452,75584.32444,67865.00039,84181.68524
2017,0.68366,73803.55585,66180.54186,82304.62766
2018,0.70635,79906.15299,71663.00522,89097.48156
2019,0.72509,70105.86411,59969.40813,81955.65599
2021,0.75172,65983.87104,59131.54423,73630.26443
2022,0.75837,69576.94211,61849.84041,78269.41576
2023,0.76123,66972.06556,59759.06177,75055.68918
2024,,61065.88861,54307.96743,68664.74531
2025,,62544.03298,55769.26638,70141.78804
